LAUS,state_fips,county_fips,county,year,,Labor,Employed,Unemployed,unemploy_rate
CN0100100000000,1,1,"Autauga County, AL",2011,,"25,836","23,677","2,159",8.4
CN0100300000000,1,3,"Baldwin County, AL",2011,,"85,045","77,418","7,627",9
CN0100500000000,1,5,"Barbour County, AL",2011,,"9,849","8,712","1,137",11.5
CN0100700000000,1,7,"Bibb County, AL",2011,,"8,933","7,996",937,10.5
CN0100900000000,1,9,"Blount County, AL",2011,,"25,123","22,939","2,184",8.7
CN0101100000000,1,11,"Bullock County, AL",2011,,"4,833","4,272",561,11.6
CN0101300000000,1,13,"Butler County, AL",2011,,"9,188","8,042","1,146",12.5
CN0101500000000,1,15,"Calhoun County, AL",2011,,"51,268","45,963","5,305",10.3
CN0101700000000,1,17,"Chambers County, AL",2011,,"15,200","13,380","1,820",12
CN0101900000000,1,19,"Cherokee County, AL",2011,,"11,476","10,364","1,112",9.7
CN0102100000000,1,21,"Chilton County, AL",2011,,"19,539","17,753","1,786",9.1
CN0102300000000,1,23,"Choctaw County, AL",2011,,"4,764","4,138",626,13.1
CN0102500000000,1,25,"Clarke County, AL",2011,,"8,843","7,181","1,662",18.8
CN0102700000000,1,27,"Clay County, AL",2011,,"5,598","4,935",663,11.8
CN0102900000000,1,29,"Cleburne County, AL",2011,,"5,939","5,365",574,9.7
CN0103100000000,1,31,"Coffee County, AL",2011,,"20,749","19,059","1,690",8.1
CN0103300000000,1,33,"Colbert County, AL",2011,,"24,386","21,905","2,481",10.2
CN0103500000000,1,35,"Conecuh County, AL",2011,,"4,785","4,057",728,15.2
CN0103700000000,1,37,"Coosa County, AL",2011,,"4,477","3,918",559,12.5
CN0103900000000,1,39,"Covington County, AL",2011,,"16,367","14,764","1,603",9.8
CN0104100000000,1,41,"Crenshaw County, AL",2011,,"6,432","5,798",634,9.9
CN0104300000000,1,43,"Cullman County, AL",2011,,"35,669","32,279","3,390",9.5
CN0104500000000,1,45,"Dale County, AL",2011,,"22,017","20,188","1,829",8.3
CN0104700000000,1,47,"Dallas County, AL",2011,,"17,514","14,866","2,648",15.1
CN0104900000000,1,49,"DeKalb County, AL",2011,,"29,809","26,279","3,530",11.8
CN0105100000000,1,51,"Elmore County, AL",2011,,"36,597","33,521","3,076",8.4
CN0105300000000,1,53,"Escambia County, AL",2011,,"14,978","13,355","1,623",10.8
CN0105500000000,1,55,"Etowah County, AL",2011,,"44,722","40,238","4,484",10
CN0105700000000,1,57,"Fayette County, AL",2011,,"6,632","5,896",736,11.1
CN0105900000000,1,59,"Franklin County, AL",2011,,"14,362","12,986","1,376",9.6
CN0106100000000,1,61,"Geneva County, AL",2011,,"11,486","10,429","1,057",9.2
CN0106300000000,1,63,"Greene County, AL",2011,,"3,226","2,668",558,17.3
CN0106500000000,1,65,"Hale County, AL",2011,,"6,296","5,426",870,13.8
CN0106700000000,1,67,"Henry County, AL",2011,,"7,270","6,563",707,9.7
CN0106900000000,1,69,"Houston County, AL",2011,,"46,778","42,747","4,031",8.6
CN0107100000000,1,71,"Jackson County, AL",2011,,"24,163","21,682","2,481",10.3
CN0107300000000,1,73,"Jefferson County, AL",2011,,"319,652","289,916","29,736",9.3
CN0107500000000,1,75,"Lamar County, AL",2011,,"5,826","5,260",566,9.7
CN0107700000000,1,77,"Lauderdale County, AL",2011,,"44,048","40,026","4,022",9.1
CN0107900000000,1,79,"Lawrence County, AL",2011,,"14,788","13,177","1,611",10.9
CN0108100000000,1,81,"Lee County, AL",2011,,"68,316","62,812","5,504",8.1
