"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US72061","Guaynabo Municipio, Puerto Rico","97864","*****","72072","3718","6664","1921","232","218","0","285","0","285","15858","3367","3038","1579","572","491","2466","1432"
"0500000US72097","Mayagüez Municipio, Puerto Rico","89028","*****","44756","3844","3242","1137","0","285","357","424","0","285","27898","3496","12775","3052","143","141","12632","3004"
"0500000US72113","Ponce Municipio, Puerto Rico","166164","*****","113604","4591","8249","1591","0","285","129","161","0","285","20893","3098","23289","4444","967","587","22322","4559"
"0500000US72127","San Juan Municipio, Puerto Rico","395074","*****","236625","7695","71259","5992","900","408","5851","1940","0","285","25298","3985","55141","6195","3635","1099","51506","6101"
"0500000US72137","Toa Baja Municipio, Puerto Rico","89513","*****","51978","3768","14786","2994","366","634","189","312","0","285","4597","1844","17597","3069","321","236","17276","3038"
"0500000US72139","Trujillo Alto Municipio, Puerto Rico","74754","*****","40058","3889","4578","1413","0","285","53","87","0","285","2803","1283","27262","3489","160","194","27102","3525"
"0500000US01003","Baldwin County, Alabama","183195","*****","159423","1327","17230","616","855","388","1120","517","0","273","1697","1342","2870","882","122","166","2748","892"
"0500000US01015","Calhoun County, Alabama","118510","*****","88213","577","25137","427","345","365","706","366","41","72","2700","700","1368","670","0","273","1368","670"
"0500000US01043","Cullman County, Alabama","80459","*****","76959","862","1207","509","331","311","75","150","0","273","847","709","1040","539","119","161","921","508"
"0500000US01049","DeKalb County, Alabama","71151","*****","64530","2722","1232","444","793","662","0","273","22","43","2300","2506","2274","1135","23","43","2251","1129"
"0500000US01051","Elmore County, Alabama","79549","*****","60656","914","15530","941","298","221","565","512","0","273","952","865","1548","587","102","119","1446","619"
"0500000US01055","Etowah County, Alabama","104462","*****","86116","183","16553","428","611","238","336","343","0","273","83","135","763","341","55","117","708","358"
"0500000US01069","Houston County, Alabama","101888","*****","71348","577","25787","740","345","242","979","146","0","273","1537","607","1892","726","0","273","1892","726"
"0500000US01073","Jefferson County, Alabama","658555","*****","353301","3573","278496","737","1407","573","9387","961","0","273","11109","3750","4855","1393","393","319","4462","1361"
"0500000US01077","Lauderdale County, Alabama","92679","*****","80704","666","8884","704","1174","833","733","113","0","273","127","227","1057","511","11","20","1046","510"
"0500000US01081","Lee County, Alabama","140780","*****","102223","503","32688","488","219","222","3657","362","81","132","613","490","1299","624","31","56","1268","608"
"0500000US01083","Limestone County, Alabama","83193","*****","67818","1166","10935","155","614","302","956","167","0","273","2175","1168","695","390","60","104","635","373"
"0500000US01089","Madison County, Alabama","335988","*****","233774","1182","80207","1973","2940","529","8147","763","230","146","2945","1098","7745","1880","557","306","7188","1860"
"0500000US01095","Marshall County, Alabama","93235","*****","86786","1740","1391","505","883","482","567","53","0","273","2274","1612","1334","1000","408","703","926","675"
"0500000US01097","Mobile County, Alabama","413277","*****","250956","1602","143819","948","4033","1383","7745","561","53","91","1953","1123","4718","1380","276","252","4442","1338"
"0500000US01101","Montgomery County, Alabama","229844","*****","91993","1838","125222","1771","571","425","4836","326","90","150","3553","1679","3579","1683","209","278","3370","1674"
"0500000US01103","Morgan County, Alabama","119626","*****","100091","1426","13910","787","1027","1104","788","95","0","273","864","870","2946","861","225","250","2721","831"
"0500000US01117","Shelby County, Alabama","195828","*****","162337","1830","20884","728","489","304","3614","630","0","273","6074","1829","2430","1060","265","272","2165","996"
"0500000US01125","Tuscaloosa County, Alabama","195036","*****","130697","1138","58303","705","47","76","1813","701","0","273","1747","1123","2429","734","109","182","2320","749"
"0500000US02020","Anchorage Municipality, Alaska","293227","*****","195553","2116","17874","1147","21787","2373","23986","2408","6388","755","4467","1628","23172","3159","1433","678","21739","3143"
"0500000US02090","Fairbanks North Star Borough, Alaska","98314","*****","76806","989","4128","941","7768","1305","3059","476","426","132","821","660","5306","1384","328","315","4978","1346"
"0500000US02170","Matanuska-Susitna Borough, Alaska","89737","*****","76690","468","788","385","4736","855","842","245","124","107","299","219","6258","1010","141","150","6117","1007"
"0500000US04001","Apache County, Arizona","71676","*****","18053","585","63","74","52727","568","235","39","106","105","171","259","321","245","45","77","276","227"
"0500000US04003","Cochise County, Arizona","131789","*****","109348","2849","5400","541","1316","568","2304","504","422","400","8462","2684","4537","1441","1217","720","3320","1178"
"0500000US04005","Coconino County, Arizona","134651","*****","82278","2325","1697","323","36230","1551","2020","276","235","247","7471","2688","4720","1692","1103","957","3617","1522"
"0500000US04013","Maricopa County, Arizona","3827371","*****","3101274","18062","196943","4883","68963","3637","129788","4282","7510","1724","220793","16672","102100","8362","24666","4301","77434","6681"
"0500000US04015","Mohave County, Arizona","200181","*****","182870","1692","1760","837","4771","795","2396","378","92","121","3412","1247","4880","1342","1243","772","3637","1143"
"0500000US04017","Navajo County, Arizona","107551","*****","55195","1252","444","305","46269","2336","322","267","578","775","1691","650","3052","1846","146","190","2906","1811"
"0500000US04019","Pima County, Arizona","982154","*****","793940","9415","33858","1768","31974","2582","26043","1536","1087","435","69539","8883","25713","3360","4233","1299","21480","3156"
"0500000US04021","Pinal County, Arizona","383842","*****","289329","7071","17564","1219","20286","2741","6521","1463","2043","1646","37680","6554","10419","3040","2080","1029","8339","3143"
"0500000US04025","Yavapai County, Arizona","211061","*****","196409","2184","774","497","4780","931","1621","584","0","305","4271","2057","3206","1191","405","461","2801","1112"
"0500000US04027","Yuma County, Arizona","196509","*****","148389","5062","3844","774","2499","735","2140","565","107","191","32975","4817","6555","2030","2363","1115","4192","1753"
"0500000US05007","Benton County, Arkansas","222894","*****","192358","4124","2331","381","4225","1321","6217","1097","432","649","12045","4013","5286","1678","413","412","4873","1610"
"0500000US05031","Craighead County, Arkansas","96771","*****","81079","253","12587","1030","520","573","1255","157","0","273","104","138","1226","1026","45","81","1181","1019"
"0500000US05045","Faulkner County, Arkansas","113980","*****","97663","520","12025","1112","288","271","903","538","0","273","1022","957","2079","700","115","143","1964","671"
"0500000US05051","Garland County, Arkansas","96145","*****","81917","750","8079","494","747","545","910","45","115","197","3178","902","1199","698","0","273","1199","698"
"0500000US05069","Jefferson County, Arkansas","77358","*****","32394","480","42802","1162","398","386","268","258","0","273","426","497","1070","575","0","273","1070","575"
"0500000US05085","Lonoke County, Arkansas","68634","*****","61028","1111","4491","436","179","207","333","320","0","273","1648","1111","955","520","0","273","955","520"
"0500000US05119","Pulaski County, Arkansas","383632","*****","232716","1054","136525","641","1771","371","7854","624","50","80","1413","900","3303","985","151","150","3152","969"
"0500000US05125","Saline County, Arkansas","107532","*****","98472","1217","5658","839","813","339","586","779","0","273","482","661","1521","771","687","671","834","714"
